,sentiment,review_text
4429,1.0,Great company to deal with!
11167,1.0,For me Wilson is the best realtor
1951,1.0,Best moving experience ever!
7375,1.0,Great service! I would recommend them to anyone.
11705,1.0,Had the best experience with Tina Dang walk me through every step!!
8084,1.0,Luis and his crew helped me move! They did a good job and moved my stuff with care! I’d recommend them for your move!
3355,1.0,Great service!
5714,1.0,Very respectful gentleman and prompt! I would choose them again anytime!
8082,1.0,Courtlin and Caziah were the best!
10618,1.0,Josh is the best!
8064,1.0,Excellent service. All went flawlessly! They moved us from Doral to Hallandale Beach.
8670,1.0,Q and Juan.did an excellent job with the move.
1367,1.0,Darion ans Allan were our movers and they did a wonderful job!
8547,1.0,Boris and Reed did awesome!
814,1.0,Helped me find movers within an hour and got the job done efficiently. Would recommend for anyone looking to move. Best price in this market
9500,1.0,Great company!!!
10485,1.0,Best place in town!
6541,1.0,Thank you Alex you all did an excellent job
9038,1.0,Dalton and Deshun are the best.. thank you.. Jackie Stampley
11319,1.0,Best place
350,1.0,Angel and Alex were awesome! I would 100% recommend.
11830,1.0,"I am very happy with Raquel's service, if I had to choose again without a doubt she would be my realtor again, thank you !!"
353,1.0,"Daniel, Luis and Felix did a great job!"
4329,1.0,"The best, the best, the best!!!"
403,1.0,Kyle and James were great!  I will recommend them to my friends and coworkers.
3996,1.0,"Awesome owner, he and his crew were the best."
1406,1.0,Demarcus and Aaron did a great job moving all of our furniture in 107 degree temps!
6313,1.0,Excellent service!
6031,1.0,Ahmed and his team was amazing!!! Best service ever!
6310,1.0,Worked great!
3324,1.0,Bobby and George's crew we're awesome.
2878,1.0,These guys from AB Moving were excellent. AB Moving all day.
11944,1.0,One of the best Rral Estate Broker in Florida with a lot of knowledge!!!!!
9804,1.0,"Excellent care
Mindful with everything"
10090,1.0,Great Service !
1396,1.0,Great guys!
777,1.0,Nick and JC did a great job moving my items!
4391,1.0,Had a great experience! It was a pleasure working with Hunter. 10/10 would recommend.
4015,1.0,Demarcus and Rodrigo were great! Will use again!
5439,1.0,Vincent and Anthony were awesome moving us in.
6507,1.0,"JC and Jabin were awesome, packaged everything accordingly no issues and in a timely manner,  will recommend!"
292,1.0,They do great and always take care of my clients!
4471,1.0,"Jennise, Cruz and Willie did a great job today! Thank you eco movers"
7401,1.0,The best . Thank you!!
8635,1.0,Great crew! Polite. Communicative. Efficient.
11983,1.0,She is very great agent in this Area. She help me to find the best place for me in Miami.
2730,1.0,Their staff and service where excellent!
3411,1.0,Great movers !
11497,1.0,Julia helped us to sell our land in Dallas. She did her job excellently.
5015,1.0,Great cash offer! Thank you
5744,1.0,Amazing people...use them..you will want to save their number!!!!!
6204,1.0,Great workers!
6561,1.0,Excellent movers and moving experience! Recommended to ease your moving day stress.
6199,1.0,"We had the best experience with AB Moving. From scheduling with Alejandra to the day of with Nelson, Miguel, Jesus and Raul, everyone was so helpful! 10/10 would recommend and use again!"
10978,1.0,Great people to work with. Thank  you for all of your help!
3428,1.0,"Completed a one-bedroom move with John and Valeh and they did an excellent job, they were punctual and worked well throughout the move. Will be using them again without a doubt."
11988,1.0,Great realtor!
1236,1.0,Julio and team were excellent! I can’t imagine my move without them.
8963,1.0,Clinton and Jose awesome!
894,1.0,Danny and crew were awesome.
197,1.0,"Boris and Reed were awesome, best movers ever. Will use Ecomovers anytime I need to relocate again."
1232,1.0,The workers were great!
6205,1.0,Gustavo and Emmanuel were great!
4783,1.0,BEST MOVING COMPANY!!!
8018,1.0,Johnthan and Ricky were awesome whenever I move again I’m using AB moving
2738,1.0,"Darion and Kelvontay did an awesome superb job with my move, they are the best of the best."
4069,1.0,Great service!
1301,1.0,"Wonderful experience with Powerloaders, they're awesome!!"
4073,1.0,Did a great job! Showed up on time for the rate they agreed on
9519,1.0,Amazing service!!!
2046,1.0,Best moving company in the northwest
7419,1.0,Great service!
263,1.0,Excellent service!
7427,1.0,They handle everything with care. Great movers!!!
5008,1.0,Miguel and his team were the best ever !
4314,1.0,They were amazing!!!!
2756,1.0,They were great!
6210,1.0,"Our movers Damien, Lloyd, Aaron did an excellent job helping us move. Will use their service again."
5107,1.0,Alvaro and his friends moved me a year ago and I recommend them to everyone!  Best I the biz
7987,1.0,Aaron & Floyd were awesome!
6817,1.0,Works great!!
2745,1.0,"Lloyd, Ross & Hancock did an awesome job!!  They win at Tetris!  They had to fill a Mini Mobile container & utilize all 8x20 feet of the container!
So grateful for their skill sets!"
9546,1.0,Great moving experience! The team lead by Bonifacio was excellent
11293,1.0,Great service by julio. Julio at priority home buyers got me a cash offer on my home within weeks just what i needed. Thank you!
9856,1.0,The Rubio crew was excellent!
5568,1.0,Aaron and Copeland did a great job!!!
9228,1.0,Guys did a great job!!!! They showed up on time and all of our items were handled with great care. Thx!!!!
9286,1.0,They are the best!
8309,1.0,the best realtor in miami
568,1.0,"Edgar, Calvin & Deno did an AMAZING job!!!!"
4547,1.0,Great group to work with!
10454,1.0,I've known Geoff (and his brother) for a while now. Always a stand up guy and I've always had a great experience doing business with him!!
7001,1.0,Andrew and Kel were the best and I thank them for everything.
4523,1.0,Awesome to work with Todd in every step of the process.
3076,1.0,Bagrat and his guys are the best. If I were moving again tomorrow I would call them.
9305,1.0,great move!
4910,1.0,Great company!
691,1.0,Michelle Senechal is the best!
3066,1.0,Best in the Business
9311,1.0,Best company. Ask for John.
8281,1.0,Just got moved by Juan!!! He was awesome to work with!!! Call him for any of your moving needs.
9314,1.0,Best in the business!
6460,1.0,Excellent service!
7132,1.0,Luis and Reggie were excellent. They were on time.
11062,1.0,Great community!
5630,1.0,"Excellent service, 100% recommended"
4518,1.0,"Dalton, Dashun, and Darron moved me and they did an awesome job."
6389,1.0,Awesome!
4368,1.0,Great company to use if you are trying to sell your home. Go talk with Hunter! He is wonderful to work with!
6431,1.0,Great movers! I recommend them to everyone. Great company!
7034,1.0,The best moving company
644,1.0,"My crew, Angelson, Hiram, and Papani, were all great. Thank you!"
5149,1.0,"Timely, polite, and treated all my things with great care!"
1595,1.0,Chris and James did an awesome job. Thank y’all for the help
5160,1.0,Great offer!
651,1.0,Great job explaining documents and process. Got the job done and saved us a lot of money!
1573,1.0,Great job Hugo and his crew!! I have used them twice and each time they did a great job!!!
5147,1.0,Everyone on the team was helpful and efficient. And took great care with our property!
3823,1.0,"Preston, Gill and Lloyd did an excellent job loading our furniture and boxes into the Uhaul. This company has always done great work for us! Thank you!"
11218,1.0,Great event every time!
1559,1.0,Wonderful service and saved us a ton from the heat!
3108,1.0,Thank you Courtney for sending out earl and George the guys did and awesome job
6020,1.0,Excellent work.
1648,1.0,Espinoza’s crew was great!
7015,1.0,OMG. Thank you Jorge for helping me with my move.  You guys are the Best.
533,1.0,Great 3 man crew!!!!
530,1.0,"Awesome job,  Luis, Anton,  Felix .  Pay raise well deserved 👍👍"
6316,1.0,Boris Team was awesome! 100% recommended 👍
9366,1.0,If you are thinking of buying or selling a house in Miami don't miss the opportunity to do it with the best in the business !!!
3967,1.0,Was sent Tacoma team and they were great!!
10023,1.0,Dexter is one of the best Miami Realtors out there! He helped me find 4 business lease locations and now helping me find a warehouse to buy! He is excellent at making a deal happened and getting you the best deal!
7245,1.0,Great job!
7269,1.0,Gamez and David did a awesome job moving from one place to another.   Then you
2949,1.0,These guys were awesome!
3976,1.0,FM crew with john crew leader has been the best experience from ab I have ever gotten. Recommended to everyone
11284,1.0,Great service by Julio gave me a cash offer in just 10 days !!
436,1.0,Great job!!! 😃
1834,1.0,JORGE ESPINOZA WAS EXEPCIONAL AND HIS TEAM MEMBERS THE BEST 5 STAR RATINGS. 08/09/2020.
1841,1.0,"Brian, Felix,  Sergio,  and Daryl did a great job!"
11927,1.0,Excellent service. Dimitrios was with us every step of the way. Helping us through all the steps in the process. He kept us up to date. I would recommend him and use him again if I decide to buy or sell.
2917,1.0,Boris and Nian were great!!!
1850,1.0,I’ve used them 3 times this year and they have the best service. Beyond helpful!
8170,1.0,Great service!
1858,1.0,Damien and Noah were awesome! Would use the service again.
4384,1.0,Excellent service and care. Would use again
10616,1.0,"A year ago, Brent helped our family to find the perfect home.  We are very happy in it.  Brent took the time to get to know our family needs and gave us feedback along the way."
11683,1.0,Amazing!!! Mirim is the best and sweetest at what she does.
3250,1.0,Had a great moving experience with Edgar and Jorge!! Will recommend Eco Movers to my friends
6353,1.0,Chuck and Kel were AMAZING! They were like energizer bunnies during our move! Thank you for making this process effortless m!
3012,1.0,Excellent service from Emmanuel and Francisco today!!! Than you!!!
8263,1.0,Great work!
9331,1.0,Xpress relocations did a great job with our shipment.  Everything arrived well and on time!
3232,1.0,"Frank, Hugo and Kodee were awesome!!  These guys worked all day and got everything done!  Great job!!!"
4965,1.0,"Tod has been wonderful in the process of selling our house...professional, responsive, and helpful in communicating with, and vetting, prospective buyers.

I heartily recommend him to anyone."
3239,1.0,Brian and Daryl did a great job!! 5 star work
515,1.0,Excellent!
514,1.0,Excellent service!
1736,1.0,Incredibly proficent! Emmanual and Gustavo did a really excellent job managing our move up.
8871,1.0,Great service!!
509,1.0,Did a great job for us!
7160,1.0,They are awesome!
1743,1.0,"Boris, Julian, Jalen were great movers! Protected furniture well and speedy!"
715,1.0,Excellent!
7185,1.0,Joseph and William M. great movers! Did a great job now damage to my things !
6028,1.0,Reyes moving team was awesome!
7202,1.0,"I worked with the agent Marshall!!. Recommend this amazing guy!

I’m a first-time homebuyer with zero knowledge on the research and the market. Marshall will help you everything he knows and will find answers for you!
Thank you Marshall.!"
8435,1.0,Wonderful service for transporting my vehicle
9884,1.0,"Boris, Abu, Francesco did a great job! Would hire again anytime!"
4051,1.0,Great experience!
2379,1.0,Megan Norris is a great agent to work with!
5995,1.0,Best movers in DFW.
5512,1.0,Excellent service
1168,1.0,Great team!
2425,1.0,Megan Norris is the best!
11458,1.0,Great experience with Jose Gomez! He is the best and works efficiently.
2619,1.0,Walter and Coleman took great care with our mother’s antique furniture! We will recommend Wildcat Movers to our friends and family!
5272,1.0,Thank you Cody and James W for your help! Great service!
2620,1.0,Best Movers in Miami!! No one beats their service and attention to detail.
4643,1.0,Darion and Jabin did an excellent job!
9716,1.0,"Luis, Felix, and Roberto did a great job helping us with our move!"
7582,1.0,"Esteban's crew moved everything quickly, great attitude and knew what they were doing!"
9632,1.0,"Professionally-friendly, hardworking, knowledgeable, Etc.  Great move!  Well done to Boris and Team."
5788,1.0,The best of the best!
8901,1.0,"We had the pleasure of working with this company. From beginning to end the team was there for every step of the way and made it a flawless transaction.
Thank you!"
7755,1.0,Had the best experience with Sergio Manriquez. I purchased my home 7/29/16.
4279,1.0,Great service! Thank you!
8859,1.0,mario and David were great!
4431,1.0,Deshun and Brian were great!
5982,1.0,Awesome staff.
7614,1.0,Best of the best!
11139,1.0,Best place to work with! 5 starts
10642,1.0,great experience!!
3484,1.0,Best moving company in Miami!
2438,1.0,Matti Norton could sell ice to an Eskimo!!!!! Best agent on the earth! Whoop whoop!!
4412,1.0,"These guys were excellent and on time, if you are going to move don't somewhere else 👍"
9886,1.0,Great moving!
6158,1.0,"Boris, Reed and Eli did a great job packing my apartment!"
9627,1.0,Great guys! They deserve a raise
5809,1.0,Esteban and Erasmus (sp.?) were a wonderful team to work with in my move .
4416,1.0,Boris and Rick did an incredible job!
2302,1.0,Best movers I’ve ever used
4179,1.0,Michael crew did an awesome job
4424,1.0,Dalton and Jaime were awesome. Moved furniture for a 2 bedroom across dfw in under 3 hrs. Still trying to figure that out.
8880,1.0,Kyle and Richard are the best!
9720,1.0,Perfect job! Thank you guys from JM Executive Moving Company!
7541,1.0,Boris and Rick did a great job!!!
1038,1.0,Bunna Meas is great!
38,1.0,"If you’re looking for top-notch, Julien Carlson is your guy."
12032,1.0,Great job guys! Selling DFW house - call these guys!
8679,1.0,Great job!
6118,1.0,Kyle and Todd were awesome.
1056,1.0,Great place just fyi to anyone wanting to know that!!
2525,1.0,Did a great job with logistics in a downtown move!
6076,1.0,Kyle Todd did a great job!
1210,1.0,"Thank you, Dante and Alejandro. Your professionalism and skill are impressive. You all made the move a pleasure."
2372,1.0,It was so wonderful working with Megan Norris!
